case_id,conversation_id,customer_problem,conversation,amazon_responses,resolution,intent,resolution_quality,turn_count
C023844,1771695,"@AmazonHelp ご返信ありがとうございます。
先程、返品処理致しました。
今日、Amazonから届いた荷物が全く違う商品だった…
バック頼んだのに、犬用の何かのカー用品が届いた…
いや飼ってねーしw","AmazonHelp: [USER_ID] 大変お手数をおかけしました。どうぞよろしくお願いいたします。 EK
Customer: @AmazonHelp ご返信ありがとうございます。
先程、返品処理致しました。
AmazonHelp: [USER_ID] 異なる商品をお届けしご迷惑をおかけしております。返品を承ります。恐れ入りますが、こちらのURLよりカスタマーサービスまでお問い合わせ下さい。 [URL] EK
Customer: 今日、Amazonから届いた荷物が全く違う商品だった…
バック頼んだのに、犬用の何かのカー用品が届いた…
いや飼ってねーしw","[USER_ID] 大変お手数をおかけしました。どうぞよろしくお願いいたします。 EK
[USER_ID] 異なる商品をお届けしご迷惑をおかけしております。返品を承ります。恐れ入りますが、こちらのURLよりカスタマーサービスまでお問い合わせ下さい。 [URL] EK",Provided support guidance. Provided support link.,general_inquiry,weak,4
C061616,383311,Oggi sono particolarmente felice. [USER_ID] regala gioie di lunedì mattina. [URL],"AmazonHelp: [USER_ID] Ti sei creato una bella collezione! 😍 ^CS [URL]
Customer: Oggi sono particolarmente felice. [USER_ID] regala gioie di lunedì mattina. [URL]",[USER_ID] Ti sei creato una bella collezione! 😍 ^CS [URL],Provided support link.,general_inquiry,weak,2
C065121,468866,"@AmazonHelp Have checked already - which is why it's worrying. Nothing relates to this charge.
@AmazonHelp Not that I am aware of. Seems to be a random payment.
@AmazonHelp Please can you contact me about this? Your app now isn’t authenticating me following a password change.
Why has [USER_ID] charged a random £3 to my account? Not ideal at all.
@AmazonHelp Have you started a new thread? Very confusing. Put off from using your CS, cos ur web chat PA is not very good.
[USER_ID] [USER_ID] This isn’t good. I changed my password as was worried I had been hacked. Seems more likely to be Amazon though, since amount is small.
[USER_ID] [USER_ID] I have been noticing this too. Then it goes away. Is it like a security deposit of sorts? Or are you just borrowing money from us?","AmazonHelp: [USER_ID] I am sorry to hear this Kate. Can I ask, can you please check your order's here to see can you find this charge: [URL].^GA
Customer: @AmazonHelp Have checked already - which is why it's worrying. Nothing relates to this charge.
AmazonHelp: [USER_ID] Do you have any pending orders that might have been split into separate shipments ? ^CR
Customer: @AmazonHelp Not that I am aware of. Seems to be a random payment.
AmazonHelp: [USER_ID] Let's take a look at this in real time. Please call or chat with us here: [URL] ^BA
Customer: @AmazonHelp Please can you contact me about this? Your app now isn’t authenticating me following a password change.
AmazonHelp: [USER_ID] Sorry, please contact us via this link: [URL] if you're unable to sign in at the moment. ^JJ
Customer: Why has [USER_ID] charged a random £3 to my account? Not ideal at all.
AmazonHelp: [USER_ID] Were you in touch with us, Kate? What was advised? Keep us posted!^CN
Customer: @AmazonHelp Have you started a new thread? Very confusing. Put off from using your CS, cos ur web chat PA is not very good.
Customer: [USER_ID] [USER_ID] This isn’t good. I changed my password as was worried I had been hacked. Seems more likely to be Amazon though, since amount is small.
Customer: [USER_ID] [USER_ID] I have been noticing this too. Then it goes away. Is it like a security deposit of sorts? Or are you just borrowing money from us?","[USER_ID] I am sorry to hear this Kate. Can I ask, can you please check your order's here to see can you find this charge: [URL].^GA
[USER_ID] Do you have any pending orders that might have been split into separate shipments ? ^CR
[USER_ID] Let's take a look at this in real time. Please call or chat with us here: [URL] ^BA
[USER_ID] Sorry, please contact us via this link: [URL] if you're unable to sign in at the moment. ^JJ
[USER_ID] Were you in touch with us, Kate? What was advised? Keep us posted!^CN",Directed customer to check order status. Provided support guidance. Directed customer to contact support.,payment_issue,strong,12
C047867,2736286,acabei de comprar 21 livros na [USER_ID] estou pobre até 2020 repassem,"AmazonHelp: [USER_ID] Eita nossa senhora do coração abalado, é amor demais! ❤📚 ^DA [URL]
Customer: acabei de comprar 21 livros na [USER_ID] estou pobre até 2020 repassem","[USER_ID] Eita nossa senhora do coração abalado, é amor demais! ❤📚 ^DA [URL]",Provided support link.,general_inquiry,weak,2
C014824,1473755,"@AmazonHelp My big toe hurts, what do I do?
@AmazonHelp I need help","AmazonHelp: [USER_ID] We would love to help! Without sharing any account details, can you give us more information? ^LM
Customer: @AmazonHelp My big toe hurts, what do I do?
Customer: @AmazonHelp I need help","[USER_ID] We would love to help! Without sharing any account details, can you give us more information? ^LM",Provided support guidance.,general_inquiry,weak,3
C079804,937313,"@AmazonHelp Either stuff is missing at drop off or delayed past doorstep delivery time... or this weekend site wasn’t working.
@AmazonHelp I now have to call cause lo’ and behold my current fresh item is late [PHONE]-2632255
My shipment on [USER_ID] is late AGAIN and now [USER_ID] is not working.... amazon is pissing me off.
@AmazonHelp Hasn’t been updated since 10/19 and was due for 10/20 delivery. Last scan was at the USPS.","AmazonHelp: [USER_ID] Also, please let us know more about what's going on with Amazon Fresh. We're here to help. ^AB 2/2
Customer: @AmazonHelp Either stuff is missing at drop off or delayed past doorstep delivery time... or this weekend site wasn’t working.
AmazonHelp: [USER_ID] I'm sorry, Caitlyn, that sounds frustrating! Reach us here so we can look into this together: [URL] ^EA
Customer: @AmazonHelp I now have to call cause lo’ and behold my current fresh item is late [PHONE]-2632255
Customer: My shipment on [USER_ID] is late AGAIN and now [USER_ID] is not working.... amazon is pissing me off.
AmazonHelp: [USER_ID] Sorry for the troubles, Caitlyn! What does the latest tracking say: [URL]? 1/2
Customer: @AmazonHelp Hasn’t been updated since 10/19 and was due for 10/20 delivery. Last scan was at the USPS.","[USER_ID] Also, please let us know more about what's going on with Amazon Fresh. We're here to help. ^AB 2/2
[USER_ID] I'm sorry, Caitlyn, that sounds frustrating! Reach us here so we can look into this together: [URL] ^EA
[USER_ID] Sorry for the troubles, Caitlyn! What does the latest tracking say: [URL]? 1/2",Provided support guidance. Acknowledged the issue and apologized.,late_delivery,strong,7
C003620,1125178,"Okay so [USER_ID] have the absolute right to block your account for no reason but when you want to close the account they ask you to LOGIN to your account...
HOW ? HOW AMAZON ? I can not login !","AmazonHelp: [USER_ID] Hello, sorry for that. You can contact our CS via this link without authentification : [URL] 
 ^SM
Customer: Okay so [USER_ID] have the absolute right to block your account for no reason but when you want to close the account they ask you to LOGIN to your account...
HOW ? HOW AMAZON ? I can not login !","[USER_ID] Hello, sorry for that. You can contact our CS via this link without authentification : [URL] 
 ^SM",Acknowledged the issue and apologized.,account_issue,strong,2
C079342,922202,[USER_ID] complained but not a single satisfactory answer. Kept saying that we r working on missing but no deadline… [URL],"AmazonHelp: [USER_ID] Apologies. We have already responded to the customer here: [URL]. As promised, we will get this checked. ^NK
Customer: [USER_ID] complained but not a single satisfactory answer. Kept saying that we r working on missing but no deadline… [URL]","[USER_ID] Apologies. We have already responded to the customer here: [URL]. As promised, we will get this checked. ^NK",Provided support link.,missing_package,weak,2
C032138,2273371,"[USER_ID] Okay I don't think I should have to pay for gift packaging, I think everyone just presumes that a brown box is always included, I've never had this before
Really annoyed today that my parcel arrived not in any protective packaging! It was a gift for a work colleague it was delivered to my work address for all to see! Good job I didn't order a fucking dildo!! [USER_ID] [URL]
@AmazonHelp This has never happened before and if that is the case it should made more clear on your page and is gift packaging complimentary or is it an additional cost ?","AmazonHelp: [USER_ID] its just the way orders come if they are marked frustration free packaging but I'll be sure to pass on your feedback, sorry about that. ^AS
Customer: [USER_ID] Okay I don't think I should have to pay for gift packaging, I think everyone just presumes that a brown box is always included, I've never had this before
Customer: Really annoyed today that my parcel arrived not in any protective packaging! It was a gift for a work colleague it was delivered to my work address for all to see! Good job I didn't order a fucking dildo!! [USER_ID] [URL]
AmazonHelp: [USER_ID] You can find more details on additional packaging here, Lydia: [URL]. Additional packaging (like a cover box) is entirely free, where as gift wrapping comes at an additional charge. Both can be designated at checkout. ^SD
Customer: @AmazonHelp This has never happened before and if that is the case it should made more clear on your page and is gift packaging complimentary or is it an additional cost ?
AmazonHelp: [USER_ID] Hi, sorry about that, it looks like its sent frustration free packaging, this is shown on the product detail page, in the checkout you should mark it as a gift to avoid this in the future. ^AS","[USER_ID] its just the way orders come if they are marked frustration free packaging but I'll be sure to pass on your feedback, sorry about that. ^AS
[USER_ID] You can find more details on additional packaging here, Lydia: [URL]. Additional packaging (like a cover box) is entirely free, where as gift wrapping comes at an additional charge. Both can be designated at checkout. ^SD
[USER_ID] Hi, sorry about that, it looks like its sent frustration free packaging, this is shown on the product detail page, in the checkout you should mark it as a gift to avoid this in the future. ^AS",Acknowledged the issue and apologized. Provided support link.,technical_issue,strong,6
C067257,525601,Amazon Primeビデオに「永い言い訳」が入ってる、、、！,"AmazonHelp: [USER_ID] |ω･`)ﾁﾗｯ お時間があるときにでも、ぜひご覧ください～！[URL] RI
Customer: Amazon Primeビデオに「永い言い訳」が入ってる、、、！",[USER_ID] |ω･`)ﾁﾗｯ お時間があるときにでも、ぜひご覧ください～！[URL] RI,Provided support link.,general_inquiry,weak,2
C024447,179991,"@AmazonHelp Yep. See the screenshot (wasn't sure if I could share my tracking number on here) [URL]
@AmazonHelp Can you not advise anything here?
@AmazonHelp Amazon France
@AmazonHelp tracking my package it says it arrived, has been scanned but now it says it is out of stock? how can that be the case?","AmazonHelp: [USER_ID] Could you please tell us more about your issue ?^BR
Customer: @AmazonHelp Yep. See the screenshot (wasn't sure if I could share my tracking number on here) [URL]
AmazonHelp: [USER_ID] Hey, can you get in touch with us here:  [URL] we'll help ^AS
Customer: @AmazonHelp Can you not advise anything here?
AmazonHelp: [USER_ID] Please contact our customer service by phone or chat here: [URL] so we can look into this further with you. ^SA
Customer: @AmazonHelp Amazon France
AmazonHelp: [USER_ID] What Amazon website did you purchase from? ^MC
Customer: @AmazonHelp tracking my package it says it arrived, has been scanned but now it says it is out of stock? how can that be the case?","[USER_ID] Could you please tell us more about your issue ?^BR
[USER_ID] Hey, can you get in touch with us here:  [URL] we'll help ^AS
[USER_ID] Please contact our customer service by phone or chat here: [URL] so we can look into this further with you. ^SA
[USER_ID] What Amazon website did you purchase from? ^MC",Provided support guidance. Provided support link. Directed customer to contact support.,product_availability,strong,8
C073973,743307,"@AmazonHelp Interesting. Do you need more drivers?
I just had an [USER_ID] package delivered by someone in their personal car. Is that a thing?","AmazonHelp: [USER_ID] Deliveries made by Amazon Logistic may be handled by drivers in their personal vehicles. ^ZW
Customer: @AmazonHelp Interesting. Do you need more drivers?
Customer: I just had an [USER_ID] package delivered by someone in their personal car. Is that a thing?",[USER_ID] Deliveries made by Amazon Logistic may be handled by drivers in their personal vehicles. ^ZW,Provided support guidance.,general_inquiry,weak,3
C081684,994459,"@AmazonHelp Ok
Plz provide email support address for Amazon india @AmazonHelp","AmazonHelp: [USER_ID] You can contact our support team via email using this link : [URL] so that we can assist you accordingly. ^SS
Customer: @AmazonHelp Ok
AmazonHelp: [USER_ID] Keep us posted for any further concerns. ^SQ
Customer: Plz provide email support address for Amazon india @AmazonHelp","[USER_ID] You can contact our support team via email using this link : [URL] so that we can assist you accordingly. ^SS
[USER_ID] Keep us posted for any further concerns. ^SQ",Provided support link. Provided support guidance.,general_inquiry,strong,4
C014634,1467677,"@AmazonHelp Do you have a better method I can reach out by?  The representatives through that area never seem to help me.
@AmazonHelp I remain skeptical but will try it.
@AmazonHelp 
Ordered some cat food that arrived with open cans. I dont think I can feed this to my cats.","AmazonHelp: [USER_ID] I'm sorry about these opened cat food cans! We'd like to help. Please reach out via phone/chat here: [URL] ^BE
Customer: @AmazonHelp Do you have a better method I can reach out by?  The representatives through that area never seem to help me.
AmazonHelp: [USER_ID] I'm sorry about your previous experiences; however, I can assure you we will assist via the link above. ^QJ
Customer: @AmazonHelp I remain skeptical but will try it.
Customer: @AmazonHelp 
Ordered some cat food that arrived with open cans. I dont think I can feed this to my cats.","[USER_ID] I'm sorry about these opened cat food cans! We'd like to help. Please reach out via phone/chat here: [URL] ^BE
[USER_ID] I'm sorry about your previous experiences; however, I can assure you we will assist via the link above. ^QJ",Acknowledged the issue and apologized.,general_inquiry,strong,5
C039938,2478841,"@AmazonHelp No. I haven’t received any info regarding a delay.
[USER_ID] [USER_ID] trying to understand why I was guaranteed to get my package by the end of the day today &amp; paid for 2 day shipping yet somehow, Amazon is suddenly telling me my package won’t be delivered until tomorrow? 🤔 

WRITE BACK.","AmazonHelp: [USER_ID] Sorry to hear of your issue. Have you received info advising a reason for the delay? ^ES
Customer: @AmazonHelp No. I haven’t received any info regarding a delay.
Customer: [USER_ID] [USER_ID] trying to understand why I was guaranteed to get my package by the end of the day today &amp; paid for 2 day shipping yet somehow, Amazon is suddenly telling me my package won’t be delivered until tomorrow? 🤔 

WRITE BACK.",[USER_ID] Sorry to hear of your issue. Have you received info advising a reason for the delay? ^ES,Acknowledged the issue and apologized.,general_inquiry,weak,3
C064697,459004,"@AmazonHelp I just get frustrated. When the email says delivery by 8pm the 30th and nothing comes, suddenly the delivery time changes to 11/30-12/02. I don't like being told one thing then it changing last second. :/
[USER_ID] you've disappointed me again. 2-day prime delivery actually means ""maybe it'll be there in 2 days but probably not for 3 or 4""","AmazonHelp: [USER_ID] I understand your frustration. Unforeseen circumstances may cause delays. Please let us know if you don't receive it by the new date. ^GG
Customer: @AmazonHelp I just get frustrated. When the email says delivery by 8pm the 30th and nothing comes, suddenly the delivery time changes to 11/30-12/02. I don't like being told one thing then it changing last second. :/
AmazonHelp: [USER_ID] Oh no! Did we miss the date given on the confirmation email? ^BA
Customer: [USER_ID] you've disappointed me again. 2-day prime delivery actually means ""maybe it'll be there in 2 days but probably not for 3 or 4""","[USER_ID] I understand your frustration. Unforeseen circumstances may cause delays. Please let us know if you don't receive it by the new date. ^GG
[USER_ID] Oh no! Did we miss the date given on the confirmation email? ^BA",Provided support guidance.,technical_issue,strong,4
C020260,1651220,"祝✌️
アマゾンプライムになった♡
懐かしの映画見ちゃうぜ♡ [URL]","AmazonHelp: [USER_ID] 見ちゃってくださいませ！( *• ̀ω•́ )b ｸﾞｯ☆ ET
Customer: 祝✌️
アマゾンプライムになった♡
懐かしの映画見ちゃうぜ♡ [URL]",[USER_ID] 見ちゃってくださいませ！( *• ̀ω•́ )b ｸﾞｯ☆ ET,Provided support guidance.,general_inquiry,weak,2
C046344,268687,Second thing I bought from amazon that doesn’t work [USER_ID],"AmazonHelp: [USER_ID] Sorry for the trouble. If you're still within the return window, you can find available options here: [URL] ^CL
Customer: Second thing I bought from amazon that doesn’t work [USER_ID]","[USER_ID] Sorry for the trouble. If you're still within the return window, you can find available options here: [URL] ^CL",Acknowledged the issue and apologized.,general_inquiry,weak,2
C013800,1439106,"@AmazonHelp d'attendre samedi pour prendre des mesures...c'est pénible j'aurais plus vite fait d'aller la chercher au leclerc d'a coté...
Un grand merci [USER_ID] pour cette semaine de retard tout le monde à fini Mario et moi j'attends encore de pouvoir déballer la switch #rage","AmazonHelp: [USER_ID] Bonjour, je suis désolée pour le retard de livraison. Que dit le suivi de votre commande ? ^SM
Customer: @AmazonHelp d'attendre samedi pour prendre des mesures...c'est pénible j'aurais plus vite fait d'aller la chercher au leclerc d'a coté...
AmazonHelp: [USER_ID] D'accord. Je vous invite à patienter d'ici samedi SVP. ^SM
Customer: Un grand merci [USER_ID] pour cette semaine de retard tout le monde à fini Mario et moi j'attends encore de pouvoir déballer la switch #rage","[USER_ID] Bonjour, je suis désolée pour le retard de livraison. Que dit le suivi de votre commande ? ^SM
[USER_ID] D'accord. Je vous invite à patienter d'ici samedi SVP. ^SM",Provided support guidance.,general_inquiry,weak,4
C072073,679024,[USER_ID]..frm half and hour i m trying to call your customer service and it is showing call is connected bt does nt connect only prblm wth your app and service first u deliever product which does not work and u give worst service [URL],"AmazonHelp: [USER_ID] Apologies for the trouble. I'd like to take a closer look into this, please share your details on the link here: [URL] and I'll get back to you at the earliest. ^PS
Customer: [USER_ID]..frm half and hour i m trying to call your customer service and it is showing call is connected bt does nt connect only prblm wth your app and service first u deliever product which does not work and u give worst service [URL]","[USER_ID] Apologies for the trouble. I'd like to take a closer look into this, please share your details on the link here: [URL] and I'll get back to you at the earliest. ^PS",Provided support link.,technical_issue,weak,2
C049012,2769044,You ever pre order something and expect it's in stock because you pre ordered it in advance before release date. Come to find out on release day its out of stock? That makes me so mad. Only at [USER_ID] ( #Elgato4K60Pro ),"AmazonHelp: [USER_ID] Hi, really sorry to hear you haven't received your pre-order! This is not the service we expect. Have you been in touch with us in regard to the item being out of stock? If so, what was the info given? Let me know. ^JC
Customer: You ever pre order something and expect it's in stock because you pre ordered it in advance before release date. Come to find out on release day its out of stock? That makes me so mad. Only at [USER_ID] ( #Elgato4K60Pro )","[USER_ID] Hi, really sorry to hear you haven't received your pre-order! This is not the service we expect. Have you been in touch with us in regard to the item being out of stock? If so, what was the info given? Let me know. ^JC",Acknowledged the issue and apologized.,product_availability,medium,2
C077374,847800,"@AmazonHelp Ha sir maine order 27 tarik ko kiya bit abhi tak mera product mera paas nahi pahuchha payment bhi kiya hai
[USER_ID] [USER_ID] Plz call me [PHONE]
[USER_ID] What a furrocious package! #Prime-itive 🐱❤️😁
This [USER_ID] package is wild [URL]","AmazonHelp: [USER_ID] Being a social platform we'll not be able to arrange a call, could you tell us what went wrong? ^MJ
Customer: @AmazonHelp Ha sir maine order 27 tarik ko kiya bit abhi tak mera product mera paas nahi pahuchha payment bhi kiya hai
Customer: [USER_ID] [USER_ID] Plz call me [PHONE]
Customer: [USER_ID] What a furrocious package! #Prime-itive 🐱❤️😁
Customer: This [USER_ID] package is wild [URL]","[USER_ID] Being a social platform we'll not be able to arrange a call, could you tell us what went wrong? ^MJ",Provided support guidance.,payment_issue,medium,5
C033408,2294041,"@AmazonHelp こちらへの問い合わせは違うのは分かりますが…。。カスタマーサービスへの不満への問い合わせを、カスタマーサービスへ連絡するという事ですね。意味 ありますか？？ #Amazon
@AmazonHelp 分かりました。有り難うございました。
[USER_ID] 【問合せ】です。カスタマーサービスの上席の方と電話で話しましたが、対応に不満でした。その件については、どこに問い合わせたらよろしいですか？","AmazonHelp: [USER_ID] 恐れ入りますが、Twitter上では、カスタマーサービスの対応履歴やお客様のご登録状況の確認ができません。そのため、ご満足いただけなかったところ大変恐縮ですが、再度カスタマーサービスへご連絡いただければと存じます。TY
Customer: @AmazonHelp こちらへの問い合わせは違うのは分かりますが…。。カスタマーサービスへの不満への問い合わせを、カスタマーサービスへ連絡するという事ですね。意味 ありますか？？ #Amazon
AmazonHelp: [USER_ID] 大変恐れ入りますが、Amazonのお客様対応の窓口はカスタマーサービスのみとなります。その他の場所にご連絡いただき対応することはできませんことを何卒ご了承ください。　MH
Customer: @AmazonHelp 分かりました。有り難うございました。
Customer: [USER_ID] 【問合せ】です。カスタマーサービスの上席の方と電話で話しましたが、対応に不満でした。その件については、どこに問い合わせたらよろしいですか？","[USER_ID] 恐れ入りますが、Twitter上では、カスタマーサービスの対応履歴やお客様のご登録状況の確認ができません。そのため、ご満足いただけなかったところ大変恐縮ですが、再度カスタマーサービスへご連絡いただければと存じます。TY
[USER_ID] 大変恐れ入りますが、Amazonのお客様対応の窓口はカスタマーサービスのみとなります。その他の場所にご連絡いただき対応することはできませんことを何卒ご了承ください。　MH",Provided support guidance.,general_inquiry,medium,5
