example_id,customer_message,intent,intent_notes,expected_action,reference_response,difficulty,turn_count
21,"I ordered something on [USER_ID]  the other day and it says its ""not yet shipped but its also ""arriving today"" so idk how to feel",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
22,[USER_ID] @AmazonHelp is the worst in responding to a package complaint,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
23,Unlimitedscreaming [USER_ID],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
24,"@AmazonHelp I have done thank you.
@AmazonHelp Ok if I could get a phone number that would be great.the link doesn't give me a number.
[USER_ID] speeding swinging about driving up people's arses and it says Amazon prime all over his truck He is crazy!! Reg number SH66 NDN",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
25,"Getting tired of waiting for Amazon delivery!! [USER_ID] @AmazonHelp. Called the customer service 3 times already.
[USER_ID] @AmazonHelp Have filled the form.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
26,"[USER_ID] few days ago i mailed you my problem, it looks like you don't want to solve my issue! Done with amazon! bye-bye shit",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
27,"@AmazonHelp あああ……いえ、今は指定時間少し過ぎてるだけなのでそこまで気にしてないです大丈夫です
すみませんありがとうございます
Amazonからの荷物来ないぽよーーーーー",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,4
28,So [USER_ID] messages you if the prices of items in your cart has decreased but not when they've increased. Valid reason ?,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
29,"@AmazonHelp I will wait. Maybe the one that was shipped today by DeutschePost will arrive on Tuesday. Also the shipment is not trackable :(
@AmazonHelp Also why is the DeutschePost shipment not traceable?
Why is are my [USER_ID] orders going to arrive on wednesday and not on tuesday. Come on Amazon you can do better.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,6
30,"[USER_ID] Bad day with amazon today 3 items not del sat in all day 
amazon say attempt to del 3.44 not so he would have to walk past the window were a sat and one was a book would fit letter box 
3 del this all fine till this mad me mad amazon prime no thanks 🤬",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
31,"@AmazonHelp Thanks - any kind of ETA on a fix for this?
@AmazonHelp Are you aware that only the first 25 mins of Chicago Fire 6x02 are on Amazon Video? Not cool...",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
32,"[USER_ID] [USER_ID] Not to be dense, but I'm a little confused about how this works in terms of proving I'm a prime member. Do I show them my phone or something?
Thanksgiving savings worth celebrating from us and our friends at [USER_ID] 🙌 [URL] 💚 [URL]",general_inquiry,Auto-classified by keyword matching,escalate,Thank you for reaching out. Please let us know how we can help you today.,easy,3
33,Don’t think these new [USER_ID] delivery drivers even bother attempting to deliver! Been home various times when supposedly no one in!,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
34,化粧品の補充やらお薬やら注文ついでに密林プライム登録したった( ´ω｀)ﾑﾌｰ,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
35,"@AmazonHelp Respekt. Das nenne ich mal internationalen Support :D
Alles gut. Hatte seit der Umstellung auf Amazon Logistics 3 oder 4 mal bestellt. 3 mal wars gut (bzw unauffällig) und einmal schlecht. Das eine negative Erlebnis bleibt natürlich eher in Erinnerung. Aber danke der Nachfrage :)
[USER_ID] Amazon Logistics has been in my town for like half a year by now ... and everyone I know who ordered something has made at least one bad experience with them :(",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
36,Amazon Music のこのプレイリスト、映画好きには効きすぎてヤバい [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
37,"@AmazonHelp Yes! Hasn’t shipped yet. Delivery was today.. pre order was for today.
@AmazonHelp Just shipped TODAY! Delivery on MONDAY!! So much for playing 4 days early...like I paid for. Thanks [USER_ID] [USER_ID] [USER_ID] 4Nothing.
[USER_ID],  would be nice to play [USER_ID] #WWE2K18 four days early like I was promised!! Oh wait, I CANT! [USER_ID] #annoyed",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
38,@amazonhelp Is this an acceptable contact for [URL] orders? Need some quick help,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
39,"@AmazonHelp Will do that now.  Thanks for listening.
Delivery of cardboard boxes, in the manufacturers shipping box packed in yet another box by [USER_ID]  #inception",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
40,Amazonで買ったHDMI延長ケーブル、全く違う商品が届いた。マケプレだと返品手続きどうなるんだろ？,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
41,@AmazonHelp Just called in for customer support and you solved my issue within 5 minutes. Thank you for great customer service. 👍😀,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
42,"アマゾンジャパン(株) からの詐欺メール来た。あるんだなー、こういうの。
そもそもアマゾンで有料のやつ使ってないし、通販も年単位で使ってない",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
43,Didn't realise anything was fishy until it asked me to confirm my mum's maiden name and bank details. [USER_ID] customers beware #scam [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
44,Instead of my frozen chicken I got rotten bananas and raisins... why do u hate me [USER_ID] ??! [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
45,"@AmazonHelp I'll DM you the details
@AmazonHelp why hasn't my order been shipped yet it was released yesterday annoyed yet again",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
46,"[USER_ID] mi ha regalato un  Natale anticipato, così ho potuto compilare la mia gift list 🎁 #amazonxmas2017 [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
47,For the first time ever Amazon prime let me down 😩,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
48,Nice one [USER_ID] this interesting cardboard gear you left meshed perfectly with the gate bars spinning round and around. [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
49,"@AmazonHelp hola, tengo Amazon Prime (y Video) en Chile. Quisiera saber si mi Roku 3 soporta este servicio en español, pues la consola XBox que tengo si lo hace.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
50,"@AmazonHelp Order has already been placed for the 3rd time.   Even with upgraded shipping it will take a week to arrive. 😠
[USER_ID] Continues to fail customers. They sent a 'paper email' about an item not shipping. Item was ordered correctly. #Amaz-ingfail [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
51,"@AmazonHelp Just a general question. When you call Amazon and request a U. S representatives you can’t get one because the offices are closed.
@AmazonHelp The question is why can’t we get a U S representative on demand?Why not offer it to your US Prime Members?
@AmazonHelp Why can’t you get a U. S representative on demand?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
52,"@AmazonHelp Except I’m in South Africa at the moment and this friend of mine was going to bring the package to me since you don’t deliver to South Africa?
@AmazonHelp [URL]
@AmazonHelp I can email. That’s about it. Can’t call through to the states from here
@AmazonHelp I mailed them. They will get back to me in 12 hours?
@AmazonHelp Order was bought off amazon...
Dear [USER_ID] .. why when we tick and pay for 1 day delivery, does it now say delivery 5th of Dec? Only after we paid for it? The person traveling to South Africa is leaving on Wednesday hence the need for fast delivery... 😡",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,12
53,"@AmazonHelp ...well? What do I do about this? &amp; how do I find these limits &amp; who to I talk to about changing them? I need this item...?
@AmazonHelp Soooo, what's going on here? Item is in stock - I need another hard drive, keeps telling me I can't buy the hard drive? [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
54,"@AmazonHelp Paperwhite, thanks for speedy reply
[USER_ID] is this correct? Very annoying [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
55,"@AmazonHelp Vielen Dank :) ich hoffe,von euch zu hören :)
@AmazonHelp Perfekt.Vielen Dank und auch nen guten Start :)
[USER_ID] Sind die zeitlich gestaffelt die Angebote?Ihr werbt mit Westworld (siehe Bild),aber Westworld kostet nachwievor unverändert den vollen Preis iHv 28,99 €.
Die Cyber Monday Woche geht los. Jetzt Angebote sichern! 
&gt;&gt;&gt; [URL]

Schnäppchenjäger aufgepasst: Von 20. bis 27. November gibt es aktuelle Blockbuster und Serien bis zu 50% günstiger. Jetzt bei Amazon Video! [URL]
[USER_ID] Wisst ihr wann es mit Doctor WHO auf Prime Video weitergeht?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,9
56,"@AmazonHelp ""Entrega estimada para 15/dez - 29/dez""
Pedido nº [PHONE]-4554617
A compra foi realizada na pré-venda no dia 22/10/2017.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
57,"Amazonの商品が届かなかったから返金を要請したのに全然返してくれないからまた返金要請したら、またしても謝罪の言葉も無くAmazonのギフトカードだけ送ってきたｯ‼💢💢
ってか、現金で返せやｯ‼😠😠
Amazon最低過ぎるｯ💢💢💢💢",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
58,"[USER_ID] [USER_ID] [USER_ID] can you buy it on [USER_ID] ? #thelastpost
[USER_ID] ; [USER_ID] ; Please I wanna watch #TheTastPost series. How could i.? I'm from #Aden. It too important &amp; interesting to me. I would be grateful.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
59,[USER_ID] can you guys expand to Yakima WA [ZIP],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
60,@AmazonHelp got an email reminding me that i have yet to collect my order but i already collected it a few days ago? can i ignore that?,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
61,きめた！！Kindle fire買う！もう、論文の束とか、本の束とか、あれで読んでやる！！,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
62,"@AmazonHelp Hello,
I do not want to contact the seller.
I want to contact amazon.de
Please send me an email address.
fredrik
[USER_ID] How do I contact you? I can not find an email address at amazon.de",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
63,@AmazonHelp will the status go back to Friday 13th if I change it to one day delivery cause on standard delivery it says Saturday 14th,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
64,"@AmazonHelp You're welcome. Glad you're on it. ;)
Hey [USER_ID], did you know that the ""Literature &amp; fiction"" filter under the ""Fiction"" sub-menu in your Books department actually brings up ""Erotic literature &amp; fiction""? No, nor did my 12yo daughter. My lawyers will be in touch... 

(Joking, but better fix it quick, eh?) [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
65,"Hi amazonIN Please check my conv. with your #Customerservice &amp; tell me 
1 How come 5-10 days from 17th Nov. constitute to 1st Dec.?
2 When an item takes max 2-3 days to reach me, why it takes 5-10 days to reach you?
Are you running some different maths h… [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
66,"@AmazonHelp Ok merci c'est réglé !
Help [USER_ID] un produit était manquant dans le colis de ma dernière commande livrée et cas non prévu dans vos FAQ 🤔 je fais comment?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
67,"@AmazonHelp j'ai contacté TNT, mais pas votre SAV, vu que le colis était déjà expédié. Que dois-je faire?
@AmazonHelp je demande juste une annulation pure et simple de la commande. Rien de plus.
@AmazonHelp Merci pour votre aide. Bonne journée à vous.
@AmazonHelp je viens de remplir le formulaire. Ca me propose ça. Mais vu que l'article n'est pas arrivé, je dois cocher quelle option? [URL]
@AmazonHelp il est retourné chez vous. Ensuite? [URL]
@AmazonHelp Très bien, donc je choisis quelle option? [URL]
@AmazonHelp parfait! je ne vous dérange plus, bonne journée à vous!
Bonjour, @AmazonHelp. Suite erreur de [USER_ID], je n'ai pu recevoir mon colis 5 jours après l'avoir commandé. Comment annuler? Merci. [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,16
68,"@AmazonHelp Muchas gracias😊
[USER_ID] una pregunta tengo miedo de comprar una tableta gráfica ya que es mucho dinero y no se si funcionaria, si no funciona me devuelven el dinero o me cambian por otra? Me quedaria mas tranquila saberlo antes de comprarla, Gracias. 😊",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
69,"@AmazonHelp sorry to tell you, I'm unable to process the order and Customer Care Number doesn't work. It say, ""we are unable to find any order""
[USER_ID] I'm facing problem placing a order,any on call assistant number you guys can provide,who will help me out with the same. @AmazonHelp",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
70,"@AmazonHelp Ahora fueron unos vinilos, unos blurays y un juego de Switch
@AmazonHelp Gracias a Waters la colección ya es mediana pero esta vez me armé el OST de Inception y el primer disco de Gorillaz
@AmazonHelp Estos son al momento, estoy en espera del de Interstellar que viene de Estados Unidos [URL]
@AmazonHelp Creo que será el de Harry Potter o algo más del maestro John Williams
@AmazonHelp Lo bueno es que tengo prime y la espera es más corta [URL]
Madurar es dejar de esperar a Santa Claus y ansiar la llegada del señor de [USER_ID]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,12
71,"@AmazonHelp Done, thank you!

Sorry for not noticing the more detailed feedback button!
[USER_ID] Please forward this to the Echo/Alexa team. I feel like some poor kid is going to accidentally activate this! [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
72,how could u do this to me [USER_ID] [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
73,"アマゾンマーケティングサービスとやらからSMS来た！法的手続きに移行されたらどうしよう((((；ﾟДﾟ)))))))
恐怖で夜も眠れない( ´Д`)y━･~~ [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
74,"@AmazonHelp I have. I was told it was a new driver. They then asked for directions. The address is not hard to find. #PoorCustomerService
.[USER_ID] Maybe you could invest in #GPS for your [USER_ID] deliveries.They can't find an address they delivered to last week!#PoorService",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
75,my enail still hasn’t come &amp; I’m pissed [USER_ID] [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
76,"@AmazonHelp I did. Twice. Can you fix that UX, please?
hey @AmazonHelp, you keep using a courier to send to a Pickup Point affiliated with [USER_ID], that refuses deliveries.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
77,[USER_ID] hey! How abt adding the feature of writing on the Kindle too? Just like a digital rough pad with a stylus where we cld highlight text n make notes too.It's a great feature and has great usability. In case u do send me one as a gift for giving u this idea [USER_ID],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
78,"@AmazonHelp - paying for prime membership and same day delivery, yet my package is far from delivered 4 days already. Already wonder if I should keep the membership [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
79,"@AmazonHelp Shall do. Thank you. :)
[USER_ID] Hey Amazon! Where can I speak to a customer care representative? The usual 1800 number doesn't seem to have that option anymore.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
80,"@AmazonHelp hi, I got the fire hd 10. Can I change Alexa's voice to the British accent? How? Thanks",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
81,S/o [USER_ID] [USER_ID] y’all are some great people👌🏼✊🏼,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
82,"@AmazonHelp Desktop web. If you click the Cart button, you can indeed Save For Later. If you Proceed to Checkout, though, no such option. So on me for pressing the wrong button. Still makes no sense to take away an option on that screen, but the option is there if you go to the right place
How is [USER_ID] a real thing? Their order experience is horrid. If you add multiple items to the cart, you can't just place an order of 1 item. No way to save those items off. You have to delete 1 at a time like a caveman.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
83,[USER_ID] thank u for #Arjunreddy movie,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
84,"@AmazonHelp dois livros e um mangá pra mim, mais dois livros de presente de migo secreto
Comprei coisas na [USER_ID] hoje de manhã e já enviaram meu pedido. Baita eficiência!",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
85,amazonプライムビデオ、再生エラーが多いです,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
86,[USER_ID] muchas gracias por cuidar del comprador. Felicitaciones a Fiorella de atención al cliente (chat) por su eficiente servicio y pronta respuesta ante el problema que me resolvió.,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
87,"@AmazonHelp E-mail sent. Thank you
Still no sign of my [USER_ID] order... 😒😒😒 @AmazonHelp order tracking still says expected on the 28th...",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
88,なんかamazonの会員タイプがプライムになってた,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
89,[USER_ID] It's been 3 weeks and I am following up with customer care but still have no idea about my phone.Please help me with this,general_inquiry,Auto-classified by keyword matching,escalate,Thank you for reaching out. Please let us know how we can help you today.,easy,2
90,Amazon Musicのプレイリストは仕事中に流すのによさそう。90年代J Popとか！東京事変とか！,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
91,"These are the moments I regret buying [USER_ID] [USER_ID] [USER_ID] 
why on earth would I not buy a Hardcover! [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
92,"[USER_ID] HI, I bought Nokia 6 from amazon ORDER # [PHONE]-881071. Mobile Camera, Battery backup not that good as you describe :(",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
